review_text,sentiment_label,sentiment_score
Avoid this place. The gelato made me feel sick and the service was poor.,negative,-0.8
Outstanding food and excellent ambiance. The pasta was superb.,positive,0.8
Good gelato but the seating was a bit cramped.,positive,0.8
The garlic naan was cold and the service was extremely slow.,negative,-0.8
Amazing experience. The butter chicken was delicious and the waitress made us feel so welcome.,neutral,0.27
"Decent options for carbonara, but the wait time was a bit long.",negative,-0.8
The carbonara was cold and the service was extremely slow.,negative,-0.8
A wonderful dining experience with great grilled shrimp salad and lovely service.,positive,0.8
Good grilled shrimp salad but the seating was a bit cramped.,positive,0.8
The margherita pizza was stale and the server was not helpful at all.,negative,-0.8
A wonderful dining experience with great seafood linguine and lovely service.,positive,0.8
"Average experience. The burger was okay, nothing special.",neutral,0.0
The truffle burger was stale and the waiter was not helpful at all.,negative,-0.8
Outstanding dinner tonight. The caesar salad was cooked to perfection and our waiter was very attentive.,neutral,0.27
"Average experience. The bruschetta was okay, nothing special.",neutral,0.0
Not worth the price. Small portions and mediocre butter naan quality.,negative,-0.8
Outstanding dinner tonight. The calamari was cooked to perfection and our waiter was very attentive.,neutral,0.27
"Decent meal overall, the grilled shrimp salad was fine but nothing extraordinary.",neutral,0.0
The noise level was way too high and the pizza was mediocre.,negative,-0.8
Outstanding food and excellent ambiance. The butter naan was superb.,positive,0.8
Food was fine. Service was average. Nothing to write home about.,neutral,0.0
The noise level was way too high and the tiramisu was mediocre.,negative,-0.8
The grilled shrimp salad was absolutely delicious and the server was incredibly friendly.,positive,0.8
"The pasta was okay, and the service was polite enough.",neutral,0.0
Avoid this place. The pasta made me feel sick and the service was poor.,negative,-0.8
Fantastic service and delightful food. The grilled shrimp salad exceeded expectations.,positive,0.8
"Average experience. The calamari was okay, nothing special.",neutral,0.0
The noise level was way too high and the tiramisu was mediocre.,negative,-0.8
Outstanding dinner tonight. The seafood linguine was cooked to perfection and our waiter was very attentive.,neutral,0.27
"Nice atmosphere and okay pepperoni pizza, but slightly overpriced.",positive,0.8
The noise level was way too high and the pepperoni pizza was mediocre.,negative,-0.8
Loved the pasta! Very fresh ingredients and beautiful presentation.,positive,0.8
"Decent meal overall, the butter naan was fine but nothing extraordinary.",neutral,0.0
The cacio e pepe was stale and the waitress was not helpful at all.,negative,-0.8
The pasta was absolutely delicious and the waiter was incredibly friendly.,neutral,0.27
"The tiramisu was decent, but the service was a bit slow.",negative,-0.8
The noise level was way too high and the margherita pizza was mediocre.,negative,-0.8
The tiramisu was absolutely delicious and the service was incredibly friendly.,positive,0.8
"The butter naan was satisfactory, standard restaurant experience.",neutral,0.0
The carbonara was stale and the server was not helpful at all.,negative,-0.8
Outstanding dinner tonight. The gelato was cooked to perfection and our waiter was very attentive.,neutral,0.27
Food was fine. Service was average. Nothing to write home about.,neutral,0.0
The noise level was way too high and the caesar salad was mediocre.,negative,-0.8
The burger was absolutely delicious and the staff was incredibly friendly.,positive,0.8
"Average experience. The tiramisu was okay, nothing special.",neutral,0.0
The noise level was way too high and the calamari was mediocre.,negative,-0.8
A wonderful dining experience with great gelato and lovely service.,positive,0.8
"The seafood linguine was satisfactory, standard restaurant experience.",neutral,0.0
The service was poor and the seafood linguine came out completely overcooked.,negative,-0.8
A wonderful dining experience with great cacio e pepe and lovely service.,positive,0.8
"The caesar salad was alright, but they were out of several menu items.",neutral,0.0
Terrible customer service. Had to wait an hour for cold garlic naan.,negative,-0.8
Fantastic service and delightful food. The bruschetta exceeded expectations.,positive,0.8
Good butter naan but the seating was a bit cramped.,positive,0.8
Very disappointed. The garlic naan was bland and tasteless.,negative,-0.8
Fantastic service and delightful food. The bruschetta exceeded expectations.,positive,0.8
Food was fine. Service was average. Nothing to write home about.,neutral,0.0
The noise level was way too high and the butter chicken was mediocre.,negative,-0.8
Outstanding food and excellent ambiance. The caesar salad was superb.,positive,0.8
"The tiramisu was decent, but the service was a bit slow.",negative,-0.8
The noise level was way too high and the grilled shrimp salad was mediocre.,negative,-0.8
A wonderful dining experience with great pepperoni pizza and lovely service.,positive,0.8
"The pepperoni pizza was alright, but they were out of several menu items.",neutral,0.0
Terrible customer service. Had to wait an hour for cold truffle burger.,negative,-0.8
Amazing experience. The garlic naan was delicious and the team made us feel so welcome.,positive,0.8
Good garlic naan but the seating was a bit cramped.,positive,0.8
Highly disappointed with the paneer tikka. It was way too salty.,negative,-0.8
Fantastic service and delightful food. The paneer tikka exceeded expectations.,positive,0.8
"Decent options for truffle burger, but the wait time was a bit long.",negative,-0.8
Very disappointed. The pasta was bland and tasteless.,negative,-0.8
Outstanding dinner tonight. The grilled shrimp salad was cooked to perfection and our waiter was very attentive.,neutral,0.27
"Nice atmosphere and okay garlic naan, but slightly overpriced.",positive,0.8
The gelato was stale and the kitchen staff was not helpful at all.,negative,-0.8
Best carbonara I've had in a long time! Service was top-notch.,positive,0.8
"The bruschetta was alright, but they were out of several menu items.",neutral,0.0
The noise level was way too high and the tiramisu was mediocre.,negative,-0.8
Loved the pepperoni pizza! Very fresh ingredients and beautiful presentation.,positive,0.8
"Decent meal overall, the garlic naan was fine but nothing extraordinary.",neutral,0.0
The gelato was cold and the service was extremely slow.,negative,-0.8
Loved the grilled shrimp salad! Very fresh ingredients and beautiful presentation.,positive,0.8
"The caesar salad was alright, but they were out of several menu items.",neutral,0.0
Worst experience. Our order was incorrect and the kitchen staff was rude.,negative,-0.8
Outstanding food and excellent ambiance. The margherita pizza was superb.,positive,0.8
"Average experience. The pepperoni pizza was okay, nothing special.",neutral,0.0
The service was poor and the gelato came out completely overcooked.,negative,-0.8
Great atmosphere and excellent caesar salad. Will definitely be back!,positive,0.8
"The panna cotta was okay, and the team was polite enough.",neutral,0.0
Avoid this place. The pizza made me feel sick and the service was poor.,negative,-0.8
Amazing experience. The cacio e pepe was delicious and the manager made us feel so welcome.,positive,0.8
Good carbonara but the seating was a bit cramped.,positive,0.8
The service was poor and the butter naan came out completely overcooked.,negative,-0.8
Best margherita pizza I've had in a long time! Service was top-notch.,positive,0.8
"The bruschetta was okay, and the waiter was polite enough.",negative,-0.8
Not worth the price. Small portions and mediocre gelato quality.,negative,-0.8
Wow... Loved this place.,positive,0.8
Crust is not good.,negative,-0.8
Not tasty and the texture was just nasty.,negative,-0.8
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,positive,0.8
The selection on the menu was great and so were the prices.,positive,0.8
Now I am getting angry and I want my damn pho.,negative,-0.8
Honeslty it didn't taste THAT fresh.),negative,-0.8
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,negative,-0.8
The fries were great too.,positive,0.8
A great touch.,positive,0.8
Service was very prompt.,positive,0.8
Would not go back.,negative,-0.8
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,negative,-0.8
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",positive,0.8
I was disgusted because I was pretty sure that was human hair.,negative,-0.8
I was shocked because no signs indicate cash only.,negative,-0.8
Highly recommended.,positive,0.8
Waitress was a little slow in service.,negative,-0.8
"This place is not worth your time, let alone Vegas.",negative,-0.8
did not like at all.,negative,-0.8
The Burrittos Blah!,negative,-0.8
"The food, amazing.",positive,0.8
Service is also cute.,positive,0.8
I could care less... The interior is just beautiful.,positive,0.8
So they performed.,positive,0.8
That's right....the red velvet cake.....ohhh this stuff is so good.,positive,0.8
- They never brought a salad we asked for.,negative,-0.8
"This hole in the wall has great Mexican street tacos, and friendly staff.",positive,0.8
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",negative,-0.8
The worst was the salmon sashimi.,negative,-0.8
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",positive,0.8
This was like the final blow!,negative,-0.8
I found this place by accident and I could not be happier.,positive,0.8
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",negative,-0.8
"Overall, I like this place a lot.",positive,0.8
The only redeeming quality of the restaurant was that it was very inexpensive.,positive,0.8
Ample portions and good prices.,positive,0.8
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",negative,-0.8
My first visit to Hiro was a delight!,positive,0.8
Service sucks.,negative,-0.8
The shrimp tender and moist.,positive,0.8
There is not a deal good enough that would drag me into that establishment again.,negative,-0.8
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,negative,-0.8
"On a positive note, our server was very attentive and provided great service.",positive,0.8
"Frozen pucks of disgust, with some of the worst people behind the register.",negative,-0.8
The only thing I did like was the prime rib and dessert section.,positive,0.8
It's too bad the food is so damn generic.,negative,-0.8
"The burger is good beef, cooked just right.",positive,0.8
If you want a sandwich just go to any Firehouse!!!!!,positive,0.8
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",positive,0.8
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,positive,0.8
He came running after us when he realized my husband had left his sunglasses on the table.,positive,0.8
Their chow mein is so good!,positive,0.8
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",negative,-0.8
The portion was huge!,positive,0.8
"Loved it...friendly servers, great food, wonderful and imaginative menu.",positive,0.8
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,negative,-0.8
Not much seafood and like 5 strings of pasta at the bottom.,negative,-0.8
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",positive,0.8
"The ripped banana was not only ripped, but petrified and tasteless.",negative,-0.8
At least think to refill my water before I struggle to wave you over for 10 minutes.,negative,-0.8
This place receives stars for their APPETIZERS!!!,positive,0.8
The cocktails are all handmade and delicious.,positive,0.8
We'd definitely go back here again.,positive,0.8
We are so glad we found this place.,positive,0.8
"Great food and service, huge portions and they give a military discount.",positive,0.8
Always a great time at Dos Gringos!,positive,0.8
Update.....went back for a second time and it was still just as amazing,positive,0.8
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,negative,-0.8
A great way to finish a great.,positive,0.8
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",positive,0.8
"- Really, really good rice, all the time.",positive,0.8
The service was meh.,negative,-0.8
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",negative,-0.8
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",negative,-0.8
The scallop dish is quite appalling for value as well.,negative,-0.8
2 times - Very Bad Customer Service !,negative,-0.8
The sweet potato fries were very good and seasoned well.,positive,0.8
Today is the second time I've been to their lunch buffet and it was pretty good.,positive,0.8
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,negative,-0.8
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,negative,-0.8
walked in and the place smelled like an old grease trap and only 2 others there eating.,negative,-0.8
The turkey and roast beef were bland.,negative,-0.8
This place has it!,positive,0.8
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,negative,-0.8
I love the Pho and the spring rolls oh so yummy you have to try.,positive,0.8
The poor batter to meat ratio made the chicken tenders very unsatisfying.,negative,-0.8
All I have to say is the food was amazing!!!,positive,0.8
Omelets are to die for!,positive,0.8
Everything was fresh and delicious!,positive,0.8
"In summary, this was a largely disappointing dining experience.",negative,-0.8
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",positive,0.8
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",negative,-0.8
Best breakfast buffet!!!,positive,0.8
say bye bye to your tip lady!,negative,-0.8
We'll never go again.,negative,-0.8
Will be back again!,positive,0.8
Food arrived quickly!,positive,0.8
It was not good.,negative,-0.8
"On the up side, their cafe serves really good food.",positive,0.8
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",positive,0.8
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",positive,0.8
"Best Buffet in town, for the price you cannot beat it.",positive,0.8
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",positive,0.8
This is one of the better buffets that I have been to.,positive,0.8
So we went to Tigerlilly and had a fantastic afternoon!,positive,0.8
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",positive,0.8
The ambience is wonderful and there is music playing.,positive,0.8
Will go back next trip out.,positive,0.8
Sooooo good!!,positive,0.8
"REAL sushi lovers, let's be honest - Yama is not that good.",negative,-0.8
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",negative,-0.8
This is a really fantastic Thai restaurant which is definitely worth a visit.,positive,0.8
"Nice, spicy and tender.",positive,0.8
Good prices.,positive,0.8
Check it out.,positive,0.8
It was pretty gross!,negative,-0.8
I've had better atmosphere.,negative,-0.8
Kind of hard to mess up a steak but they did.,negative,-0.8
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",negative,-0.8
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,negative,-0.8
"Worst service to boot, but that is the least of their worries.",negative,-0.8
Service was fine and the waitress was friendly.,positive,0.8
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",positive,0.8
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",positive,0.8
"Host staff were, for lack of a better word, BITCHES!",negative,-0.8
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,negative,-0.8
"Phenomenal food, service and ambiance.",positive,0.8
I wouldn't return.,negative,-0.8
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",positive,0.8
This place is way too overpriced for mediocre food.,negative,-0.8
Penne vodka excellent!,positive,0.8
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",positive,0.8
The management is rude.,negative,-0.8
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",positive,0.8
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",positive,0.8
I had a seriously solid breakfast here.,positive,0.8
This is one of the best bars with food in Vegas.,positive,0.8
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",negative,-0.8
My drink was never empty and he made some really great menu suggestions.,positive,0.8
Don't do it!!!!,negative,-0.8
The waiter wasn't helpful or friendly and rarely checked on us.,negative,-0.8
My husband and I ate lunch here and were very disappointed with the food and service.,negative,-0.8
And the red curry had so much bamboo shoots and wasn't very tasty to me.,negative,-0.8
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,positive,0.8
The bathrooms are clean and the place itself is well decorated.,positive,0.8
"The menu is always changing, food quality is going down & service is extremely slow.",negative,-0.8
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",negative,-0.8
I give it 2 thumbs down,negative,-0.8
We watched our waiter pay a lot more attention to other tables and ignore us.,negative,-0.8
My fiancé and I came in the middle of the day and we were greeted and seated right away.,positive,0.8
This is a great restaurant at the Mandalay Bay.,positive,0.8
We waited for forty five minutes in vain.,negative,-0.8
Crostini that came with the salad was stale.,negative,-0.8
Some highlights : Great quality nigiri here!,positive,0.8
the staff is friendly and the joint is always clean.,positive,0.8
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,positive,0.8
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,positive,0.8
this place is good.,positive,0.8
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",negative,-0.8
I came back today since they relocated and still not impressed.,negative,-0.8
I was seated immediately.,positive,0.8
"Their menu is diverse, and reasonably priced.",positive,0.8
Avoid at all cost!,negative,-0.8
Restaurant is always full but never a wait.,positive,0.8
DELICIOUS!!,positive,0.8
This place is hands-down one of the best places to eat in the Phoenix metro area.,positive,0.8
So don't go there if you are looking for good food...,negative,-0.8
I've never been treated so bad.,negative,-0.8
Bacon is hella salty.,positive,0.8
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",negative,-0.8
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",positive,0.8
The waitresses are very friendly.,positive,0.8
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",positive,0.8
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,positive,0.8
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",negative,-0.8
The service here leaves a lot to be desired.,negative,-0.8
"The atmosphere is modern and hip, while maintaining a touch of coziness.",positive,0.8
"Not a weekly haunt, but definitely a place to come back to every once in a while.",positive,0.8
We literally sat there for 20 minutes with no one asking to take our order.,negative,-0.8
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",negative,-0.8
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,negative,-0.8
I dressed up to be treated so rudely!,negative,-0.8
It was probably dirt.,negative,-0.8
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",positive,0.8
I ordered the Lemon raspberry ice cocktail which was also incredible.,positive,0.8
"The food sucked, which we expected but it sucked more than we could have imagined.",negative,-0.8
Interesting decor.,positive,0.8
What I really like there is the crepe station.,positive,0.8
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",positive,0.8
you can watch them preparing the delicious food!),positive,0.8
Both of the egg rolls were fantastic.,positive,0.8
"When my order arrived, one of the gyros was missing.",negative,-0.8
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",positive,0.8
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,negative,-0.8
The best place to go for a tasty bowl of Pho!,positive,0.8
The live music on Fridays totally blows.,negative,-0.8
I've never been more insulted or felt disrespected.,negative,-0.8
Very friendly staff.,positive,0.8
It is worth the drive.,positive,0.8
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",positive,0.8
Food was great and so was the serivce!,positive,0.8
The warm beer didn't help.,negative,-0.8
Great brunch spot.,positive,0.8
Service is friendly and inviting.,positive,0.8
Very good lunch spot.,positive,0.8
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,negative,-0.8
The WORST EXPERIENCE EVER.,negative,-0.8
Must have been an off night at this place.,negative,-0.8
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",positive,0.8
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",negative,-0.8
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",negative,-0.8
My friend loved the salmon tartar.,positive,0.8
Won't go back.,negative,-0.8
Extremely Tasty!,positive,0.8
Waitress was good though!,positive,0.8
Soggy and not good.,negative,-0.8
The Jamaican mojitos are delicious.,positive,0.8
Which are small and not worth the price.,negative,-0.8
- the food is rich so order accordingly.,positive,0.8
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",negative,-0.8
The service was a bit lacking.,negative,-0.8
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",negative,-0.8
Hopefully this bodes for them going out of business and someone who can cook can come in.,negative,-0.8
"It was either too cold, not enough flavor or just bad.",negative,-0.8
I loved the bacon wrapped dates.,positive,0.8
This is an unbelievable BARGAIN!,positive,0.8
The folks at Otto always make us feel so welcome and special.,positive,0.8
"As for the ""mains,"" also uninspired.",negative,-0.8
This is the place where I first had pho and it was amazing!!,positive,0.8
This wonderful experience made this place a must-stop whenever we are in town again.,positive,0.8
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",negative,-0.8
Very very fun chef.,positive,0.8
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",negative,-0.8
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,positive,0.8
"If it were possible to give them zero stars, they'd have it.",negative,-0.8
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",negative,-0.8
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",positive,0.8
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,negative,-0.8
"Everyone is very attentive, providing excellent customer service.",positive,0.8
Horrible - don't waste your time and money.,negative,-0.8
Now this dish was quite flavourful.,positive,0.8
By this time our side of the restaurant was almost empty so there was no excuse.,negative,-0.8
"(It wasn't busy either) Also, the building was FREEZING cold.",negative,-0.8
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",negative,-0.8
-Drinks took close to 30 minutes to come out at one point.,negative,-0.8
"Seriously flavorful delights, folks.",positive,0.8
Much better than the other AYCE sushi place I went to in Vegas.,positive,0.8
The lighting is just dark enough to set the mood.,positive,0.8
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,negative,-0.8
Owner's are really great people.!,positive,0.8
There is nothing privileged about working/eating there.,negative,-0.8
The Greek dressing was very creamy and flavorful.,positive,0.8
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",negative,-0.8
Now the pizza itself was good the peanut sauce was very tasty.,positive,0.8
We had 7 at our table and the service was pretty fast.,positive,0.8
Fantastic service here.,positive,0.8
I as well would've given godfathers zero stars if possible.,negative,-0.8
They know how to make them here.,positive,0.8
very tough and very short on flavor!,negative,-0.8
I hope this place sticks around.,positive,0.8
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",negative,-0.8
The restaurant atmosphere was exquisite.,positive,0.8
"Good service, very clean, and inexpensive, to boot!",positive,0.8
The seafood was fresh and generous in portion.,positive,0.8
"Plus, it's only 8 bucks.",positive,0.8
"The service was not up to par, either.",negative,-0.8
"Thus far, have only visited twice and the food was absolutely delicious each time.",positive,0.8
Just as good as when I had it more than a year ago!,positive,0.8
"For a self proclaimed coffee cafe, I was wildly disappointed.",negative,-0.8
The Veggitarian platter is out of this world!,positive,0.8
You cant go wrong with any of the food here.,positive,0.8
You can't beat that.,positive,0.8
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",positive,0.8
The chefs were friendly and did a good job.,positive,0.8
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",negative,-0.8
I liked the patio and the service was outstanding.,positive,0.8
The goat taco didn't skimp on the meat and wow what FLAVOR!,positive,0.8
I think not again,negative,-0.8
I had the mac salad and it was pretty bland so I will not be getting that again.,negative,-0.8
I went to Bachi Burger on a friend's recommendation and was not disappointed.,positive,0.8
Service stinks here!,negative,-0.8
I waited and waited.,negative,-0.8
"This place is not quality sushi, it is not a quality restaurant.",negative,-0.8
I would definitely recommend the wings as well as the pizza.,positive,0.8
Great Pizza and Salads!,positive,0.8
Things that went wrong: - They burned the saganaki.,negative,-0.8
We waited an hour for what was a breakfast I could have done 100 times better at home.,negative,-0.8
This place is amazing!,positive,0.8
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",negative,-0.8
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,negative,-0.8
Just don't know why they were so slow.,negative,-0.8
"The staff is great, the food is delish, and they have an incredible beer selection.",positive,0.8
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",negative,-0.8
I didn't know pulled pork could be soooo delicious.,positive,0.8
"You get incredibly fresh fish, prepared with care.",positive,0.8
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,negative,-0.8
I love the fact that everything on their menu is worth it.,positive,0.8
Never again will I be dining at this place!,negative,-0.8
The food was excellent and service was very good.,positive,0.8
Good beer & drink selection and good food selection.,positive,0.8
Please stay away from the shrimp stir fried noodles.,negative,-0.8
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,negative,-0.8
Food was really boring.,negative,-0.8
Good Service-check!,positive,0.8
This greedy corporation will NEVER see another dime from me!,negative,-0.8
"Will never, ever go back.",negative,-0.8
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",negative,-0.8
"In the summer, you can dine in a charming outdoor patio - so very delightful.",positive,0.8
I did not expect this to be so good!,positive,0.8
Fantastic food!,positive,0.8
She ordered a toasted English muffin that came out untoasted.,negative,-0.8
The food was very good.,positive,0.8
Never going back.,negative,-0.8
"Great food for the price, which is very high quality and house made.",positive,0.8
The bus boy on the other hand was so rude.,negative,-0.8
